,system,ar,ar_up,ar_down,mplanet,mplanet_up,mplanet_down,rplanet,rplanet_up,rplanet_down,lambda,lambda_up,lambda_down,istar,istar_up,istar_down,psi,psi_up,psi_down,teff,teff_up,teff_down,mstar,mstar_up,mstar_down,rstar,rstar_up,rstar_down,prot,prot_up,prot_down,vsini,vsini_up,vsini_down
33,HAT-P-56,6.370016235896652,0.146144165511104,0.146144165511104,2.18,0.25,0.25,1.466,0.04,0.04,7.999999999999997,2.0,2.0,,,,,,,6566.0,50.0,50.0,1.296,0.035999999999999,0.035999999999999,1.427999999999999,0.029999999999999,0.029999999999999,0.0,0.0,0.0,36.400001525878906,0.699999988079071,0.699999988079071
34,HAT-P-69,7.68894348076738,0.182391957246126,0.103429827157039,3.73,0.6099999999999991,0.5899999999999991,1.625999999999999,0.032,0.025,30.299999237060543,6.099999904632568,7.300000190734863,,,,,,,7724.0,250.0,360.0,1.698,0.025,0.025,1.854,0.042999999999999,0.021999999999999,0.0,0.0,0.0,77.43000030517578,0.639999985694885,0.5299999713897701
35,HAT-P-70,5.484908390914953,0.353121428053406,0.295325225086725,0.0,6.78,0.0,1.87,0.149999999999999,0.1,113.09999847412111,5.099999904632568,3.400000095367431,,,,,,,8450.0,540.0,690.0,1.889999999999999,0.01,0.012999999999999,1.858,0.118999999999999,0.090999999999999,0.0,0.0,0.0,99.8499984741211,0.639999985694885,0.6100000143051141
36,HATS-2,5.507821774992224,0.136899982681921,0.136899982681921,1.345,0.149999999999999,0.149999999999999,1.167999999999999,0.029999999999999,0.029999999999999,7.999999999999997,8.0,8.0,64.70021561778972,25.29978438221028,12.282337420982536,20.615543442412925,23.62726735207941,10.420711221195194,5227.0,95.0,95.0,0.8820000000000001,0.036999999999999,0.036999999999999,0.898,0.019,0.019,24.98,0.04,0.04,1.5,0.5,0.5
37,HATS-3,7.428532198880105,0.170142734055313,0.183413442563536,1.071,0.136,0.136,1.381,0.035,0.035,2.999999999999995,25.0,25.0,,,,,,,6351.0,76.0,76.0,1.209,0.035999999999999,0.035999999999999,1.403999999999999,0.029999999999999,0.029999999999999,0.0,0.0,0.0,5.75,2.9800000190734863,2.9800000190734863
38,HATS-70,4.152268451268067,0.155306087324595,0.176406911237201,12.9,1.8,1.6,1.383999999999999,0.079,0.073999999999999,8.899999618530273,5.599999904632568,4.5,,,,,,,7930.0,630.0,820.0,1.78,0.12,0.12,1.881,0.058999999999999,0.066,0.0,0.0,0.0,40.61000061035156,0.319999992847442,0.349999994039535
39,HD 332231,24.5,0.300000011920928,0.200000002980232,0.244000002741813,0.020999999716877,0.020999999716877,0.8560000061988831,0.016000000759959,0.016000000759959,1.999999999999995,6.0,6.0,,,,,,,6089.0,97.0,96.0,1.126999974250793,0.076999999582767,0.076999999582767,1.276999950408935,0.039000000804662,0.035999998450279,0.0,0.0,0.0,5.5,0.200000002980232,0.200000002980232
40,HD 17156,23.673697297168854,0.7892972143755961,0.7892972143755961,3.262,0.113,0.113,1.064999999999999,0.035,0.035,9.999999999999996,5.099999904632568,5.099999904632568,,,,,,,6079.0,56.0,56.0,1.296999999999999,0.07,0.07,1.487,0.042,0.042,0.0,0.0,0.0,4.179999828338623,0.310000002384185,0.310000002384185
41,HD 63433,38.0,4.599999904632568,1.700000047683715,0.023000000044703,0.023000000044703,0.023000000044703,2.710000038146972,0.140000000596046,0.140000000596046,10.999999999999998,32.0,35.0,90.0,0.0,18.74755175609009,25.6282448388539,22.474574434828646,15.324534028766072,5640.0,74.0,74.0,,,,0.91,0.03,0.03,6.609469906062656,0.70834277506492,0.70834277506492,7.300000190734863,0.300000011920928,0.300000011920928
42,HD 80606,94.64447329586152,3.658479685103276,3.658479685103276,4.113999999999999,0.155,0.155,1.002999999999999,0.027,0.027,42.0,8.0,8.0,,,,,,,5584.0,13.0,13.0,1.018,0.057,0.057,1.036999999999999,0.035,0.035,0.0,0.0,0.0,1.700000047683715,0.300000011920928,0.300000011920928
43,HD 106315,24.790000915527344,0.389999985694885,0.430000007152557,0.037999999999999,0.012,0.012,0.391,0.008,0.008,10.899999618530268,3.799999952316284,3.599999904632568,,,,,,,6364.0,87.0,87.0,1.153999999999999,0.042,0.042,1.268999999999999,0.024,0.024,0.0,0.0,0.0,13.0,0.280000001192092,0.280000001192092
44,HD 149026,6.018734676341234,0.201262883032604,0.181704086811471,0.367999999999999,0.012999999999999,0.014,0.8129999999999991,0.027,0.025,11.999999999999998,7.0,7.0,,,,,,,6147.0,50.0,50.0,1.345,0.02,0.02,1.540999999999999,0.045999999999999,0.042,0.0,0.0,0.0,7.699999809265136,0.8000000119209281,0.8000000119209281
45,HD 189733,8.984971821975579,0.333669271244885,0.333669271244885,1.149999999999999,0.039,0.039,1.151,0.037999999999999,0.037999999999999,0.4000000059604617,0.200000002980232,0.200000002980232,90.0,0.0,14.907929092214488,2.293835241009567,13.52019344180406,1.615489955631234,5050.0,50.0,50.0,0.8399999999999991,0.042,0.042,0.752,0.025,0.025,11.95199966430664,0.017000000923871,0.017000000923871,3.25,0.019999999552965,0.019999999552965
46,HD 209458,8.784994278742612,0.146843613005053,0.146843613005053,0.7139999999999991,0.017,0.017,1.379999999999999,0.017,0.017,0.6000000238418524,0.400000005960464,0.400000005960464,61.030662004285496,13.303920825331154,8.75934048268153,28.232325489485085,9.707823489808334,13.489909895313696,6117.0,50.0,50.0,1.147999999999999,0.04,0.04,1.161999999999999,0.014,0.014,10.649999618530272,0.75,0.75,4.800000190734863,0.200000002980232,0.200000002980232
47,HIP 67522,11.711000442504885,0.087999999523162,0.159999996423721,0.0,5.0,0.0,0.927999973297119,0.03999999910593,0.03999999910593,5.800000190734859,2.799999952316284,5.699999809265136,90.0,0.0,5.0,20.200000762939453,8.699999809265137,10.300000190734863,5675.0,75.0,75.0,1.220000028610229,0.050000000745058,0.050000000745058,1.379999995231628,0.059999998658895,0.059999998658895,1.4,0.1,0.1,49.21,0.95,0.97
48,K2-25,21.04971936030676,1.104723916060124,1.104723916060124,0.076999999999999,0.017999999999999,0.016,0.305999999999999,0.010999999999999,0.010999999999999,2.999999999999995,16.0,16.0,90.0,0.0,11.805393291221932,13.8210137889796,10.105568282972584,7.834026334406365,3207.0,58.0,58.0,0.2634,0.0077,0.0077,0.2932,0.009299999999999,0.009299999999999,1.876559553610711,0.037531191072214,0.037531191072214,8.899999618530273,0.600000023841857,0.600000023841857
49,K2-29,10.544683020110064,0.136511314817104,0.136511314817104,0.7299999999999991,0.04,0.04,1.189999999999999,0.02,0.02,1.4999999999999976,8.699999809265137,8.699999809265137,68.44323181642953,18.20620449151181,8.855650627084309,19.27091253437008,13.663881655931668,11.05985149722556,5358.0,38.0,38.0,0.9399999999999992,0.02,0.02,0.8599999999999991,0.01,0.01,10.760688415975892,0.215213768319517,0.215213768319517,3.700000047683715,0.5,0.5
50,K2-34,6.729665086191134,0.231110947447155,0.231110947447155,1.649,0.098,0.098,1.217,0.052999999999999,0.052999999999999,0.9999999999999944,9.0,10.0,,,,,,,6131.0,47.0,47.0,1.204,0.031,0.031,1.383,0.045999999999999,0.045999999999999,0.0,0.0,0.0,5.0,1.299999952316284,1.399999976158142
51,K2-140,12.880000114440918,0.004300000146031,0.003899999894201,1.129999995231628,0.11999999731779,0.109999999403953,1.202999949455261,0.075999997556209,0.075999997556209,0.4999999999999972,9.699999809265137,9.699999809265137,,,,,,,5585.0,120.0,120.0,0.9599999785423272,0.059999998658895,0.03999999910593,1.059999942779541,0.070000000298023,0.059999998658895,,,,,,
52,K2-232,19.25,0.270000010728836,0.310000002384185,0.377999991178512,0.046999998390674,0.045000001788139,1.097000002861022,0.024000000208616,0.024000000208616,11.100000381469727,6.599999904632568,6.599999904632568,,,,,,,6154.0,60.0,60.0,1.187999963760376,0.028000000864267,0.026000000536441,1.16100001335144,0.024000000208616,0.024000000208616,,,,,,
53,K2-290,43.5,1.200000047683715,1.200000047683715,1.006000041961669,0.050000000745058,0.050000000745058,0.773999989032745,0.046999998390674,0.046999998390674,153.0,8.0,8.0,39.0,7.0,7.0,124.0,6.0,6.0,6302.0,120.0,120.0,1.194000005722045,0.06700000166893,0.06700000166893,1.511000037193298,0.075000002980232,0.075199998915195,6.630000114440918,0.660000026226043,0.660000026226043,6.900000095367431,0.5,0.600000023841857
54,KELT-1,3.61380049482669,0.124387206783004,0.103169235764481,27.38,0.93,0.93,1.116,0.037999999999999,0.029,1.999999999999995,16.0,16.0,,,,,,,6516.0,49.0,49.0,1.335,0.063,0.063,1.471,0.044999999999999,0.035,0.0,0.0,0.0,56.0,2.0,2.0
55,KELT-6,11.16571872600638,1.053704322529001,1.010102622039593,0.429999999999999,0.044999999999999,0.045999999999999,1.193,0.13,0.076999999999999,36.0,11.0,11.0,,,,,,,6272.0,61.0,61.0,1.126000046730041,0.057999998331069,0.057999998331069,1.529000043869018,0.14300000667572,0.136999994516372,0.0,0.0,0.0,4.119999885559082,0.259999990463256,0.259999990463256
56,KELT-7,5.481648698829809,0.156354487959949,0.156372287894861,1.28,0.179999999999999,0.179999999999999,1.532999999999999,0.045999999999999,0.047,2.7000000476837136,0.600000023841857,0.600000023841857,,,,,,,6789.0,50.0,49.0,1.534999999999999,0.066,0.053999999999999,1.732,0.042999999999999,0.044999999999999,0.0,0.0,0.0,69.30000305175781,0.200000002980232,0.200000002980232
57,KELT-9,2.995326478383156,0.099871162182335,0.099871162182335,2.879999999999999,0.349999999999999,0.349999999999999,1.935999999999999,0.047,0.047,85.01000213623047,0.230000004172325,0.230000004172325,52.0,8.0,7.0,87.0,10.0,11.0,9600.0,400.0,400.0,2.319999999999999,0.16,0.16,2.418,0.058,0.058,0.0,0.0,0.0,116.9000015258789,1.7999999523162842,1.7999999523162842
58,KELT-17,6.380743470119168,0.247759070199646,0.227754275111224,1.31,0.28,0.289999999999999,1.524999999999999,0.065,0.059999999999999,115.9000015258789,4.099999904632568,4.099999904632568,90.0,0.0,21.304939511987456,114.40477306736216,4.320391184588316,4.610327448954819,7454.0,49.0,49.0,1.635,0.066,0.060999999999999,1.645,0.059999999999999,0.055,0.0,0.0,0.0,44.20000076293945,1.5,1.299999952316284
